id	name	sido	gu	addr	x	y	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	class_2023	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022	student_2023
S100000566	강동초등학교	강원	강릉시	강원도 강릉시 강동면 단경로 20	128.9626372	37.7248627	7	7	7	7	7	7	7	7	8	8	7	7	7	7	7	7	112	107	84	77	69	59	61	65	92	88	87	83	74	71	60	53
S100000567	강릉초등학교	강원	강릉시	강원도 강릉시 토성로 103	128.8879435	37.7534657	34	32	31	30	27	24	24	22	22	22	23	23	22	23	23	23	1134	1040	988	880	757	667	631	559	546	534	565	554	510	498	482	476
S100000568	경포대초등학교	강원	강릉시	강원도 강릉시 경포로475번길 23-11	128.9002354	37.8049458	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	75	63	58	57	69	59	57	46	59	66	73	78	69	76	74	71
S100000569	경포초등학교	강원	강릉시	강원도 강릉시 솔올로 90	128.8796813	37.7700966	36	35	35	36	33	32	32	31	32	29	30	35	23	20	20	21	1204	1172	1148	1095	1002	913	849	772	763	734	747	836	520	469	455	425
S100000573	교동초등학교	강원	강릉시	강원도 강릉시 율곡로2968번길 10	128.893	37.767225	23	22	21	20	20	19	20	19	19	19	19	18	18	17	16	16	686	655	625	585	541	502	491	458	436	400	404	402	382	363	325	301
S100000574	구정초등학교	강원	강릉시	강원도 강릉시 구정면 범일로 266-14	128.8912148	37.7178697	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	69	60	59	79	83	78	70	73	73	85	86	91	89	100	105	102
S100000575	금광초등학교	강원	강릉시	강원도 강릉시 구정면 금평로 575	128.9138175	37.704048	6	6	6	6	6	6	6	6	6	7	7	7	6	6	6	6	67	66	67	80	84	78	78	68	70	89	95	89	82	85	66	58
NONE	금진초등학교	강원	강릉시	강원도 강릉시 옥계면 금진안길 2	129.0436	37.6348987	4	4	4	5	5	5	5	5	4	3	3	0	0	0	0	0	36	32	26	27	24	22	21	23	15	11	10	0	0	0	0	0
S100000578	남강초등학교	강원	강릉시	강원도 강릉시 경강로2310번길 7	128.914703	37.7677726	18	16	16	14	13	13	12	11	11	11	12	12	9	9	8	7	536	482	422	379	331	304	282	248	256	230	229	210	175	163	145	142
S100000579	남산초등학교	강원	강릉시	강원도 강릉시 남산초교길 33	128.8923183	37.744692	27	25	24	23	22	21	20	21	20	22	21	23	23	23	22	19	789	725	691	652	624	567	513	514	487	478	492	512	505	465	429	387
S100000582	노암초등학교	강원	강릉시	강원도 강릉시 노암등길 71	128.902055	37.7416009	28	26	24	23	22	20	19	18	17	17	16	15	15	15	14	15	877	779	722	666	627	537	496	450	409	374	356	330	308	289	278	270
S100000586	동명초등학교	강원	강릉시	강원도 강릉시 경강로 2473	128.9288889	37.7754551	17	16	17	16	14	14	16	16	16	15	16	17	18	20	20	20	471	440	419	394	370	356	379	375	342	337	341	359	395	440	446	430
S100000587	명주초등학교	강원	강릉시	강원도 강릉시 강변로 86-1	128.878063	37.7428174	19	19	19	19	19	19	19	20	21	25	26	28	29	29	31	30	561	553	533	508	505	477	470	467	469	565	572	671	663	662	659	639
S100000588	모산초등학교	강원	강릉시	강원도 강릉시 모산로224번길 3	128.9014303	37.7316939	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	39	41	49	50	45	54	44	54	73	75	69	70	77	76	81	78
S100000596	사천초등학교	강원	강릉시	강원도 강릉시 사천면 미노길 46	128.850513	37.821887	8	8	8	8	8	8	8	8	7	7	7	7	7	7	7	7	77	71	74	67	59	57	65	72	65	74	78	76	71	69	71	72
S100000605	성덕초등학교	강원	강릉시	강원도 강릉시 용지로 60	128.9099536	37.7571122	35	32	31	30	30	28	29	31	31	31	32	32	31	31	29	30	1130	1042	973	923	840	739	724	791	752	753	747	756	712	675	639	626
S100000607	성산초등학교	강원	강릉시	강원도 강릉시 성산면 구산길 15	128.8332181	37.7183848	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	90	79	72	59	64	72	63	67	65	62	64	59	57	59	69	65
S100000609	송양초등학교	강원	강릉시	강원도 강릉시 성산면 위촌길 198	128.8472788	37.7588259	4	5	6	6	6	7	8	8	8	8	9	10	7	7	6	6	28	53	53	72	97	108	145	132	126	130	132	143	109	107	100	99
S100000611	신영초등학교	강원	강릉시	강원도 강릉시 주문진읍 주문북로 160	128.822445	37.9063883	7	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	88	75	58	61	55	52	46	48	45	34	30	34	36	32	31	40
S100000612	신왕초등학교	강원	강릉시	강원도 강릉시 연곡면 진고개로 2265-11	128.78775	37.8536758	3	4	4	4	4	5	6	6	6	6	6	6	6	6	6	6	32	27	22	21	18	23	39	46	43	28	36	34	49	55	53	49
S100000619	연곡초등학교	강원	강릉시	강원도 강릉시 연곡면 진고개로 2656	128.8296857	37.8562571	6	7	8	9	9	11	11	11	11	11	11	12	12	12	12	11	173	156	165	174	178	177	178	195	204	191	191	188	176	180	176	167
S100000621	영동초등학교	강원	강릉시	강원도 강릉시 화부산로 28	128.8865559	37.7603231	13	11	11	10	9	9	8	9	9	8	8	8	8	8	9	10	303	280	234	212	197	203	174	165	171	138	129	136	135	129	139	147
S100000622	옥계초등학교	강원	강릉시	강원도 강릉시 옥계면 옥계로 1074	129.0350429	37.609988	11	9	8	8	7	8	7	7	7	7	7	7	7	7	7	7	223	176	139	141	114	103	103	93	81	88	80	72	58	52	55	55
S100000576	옥계초등학교금진분교장	강원	강릉시	강원도 강릉시 옥계면 금진안길 2	129.0436	37.6348987	0	0	0	0	0	0	0	0	0	0	0	2	3	3	3	2	0	0	0	0	0	0	0	0	0	0	0	6	8	12	9	7
NONE	옥계초등학교남양분교장	강원	강릉시	강원 강릉시 옥계면 남양리524-9	129.0310523	37.579868	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
S100000627	옥천초등학교	강원	강릉시	강원도 강릉시 수문길 25	128.9026545	37.7565572	18	17	16	15	15	14	13	13	13	13	13	13	13	12	11	12	550	509	454	404	346	298	256	231	212	185	201	207	193	184	173	161
NONE	옥천초등학교운산분교장	강원	강릉시	강원도 강릉시 운산길 79-15	128.9376015	37.7298465	2	2	2	2	2	2	2	2	2	3	5	6	6	6	0	0	5	4	6	7	6	5	5	5	6	8	28	39	43	54	0	0
S100000629	왕산초등학교	강원	강릉시	강원도 강릉시 왕산면 백두대간로 2011-8	128.8360454	37.6735577	3	3	4	4	3	4	4	5	5	6	6	6	6	6	6	6	15	20	19	14	10	19	19	22	27	38	37	36	47	44	50	42
NONE	왕산초등학교고단분교장	강원	강릉시	강원도 강릉시 왕산면 고단리32-8	128.8469486	37.5211909	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100004026	운산초등학교	강원	강릉시	강원도 강릉시 운산길 79-15	128.9376015	37.7298465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	53
S100000638	운양초등학교	강원	강릉시	강원도 강릉시 사천면 이설당1길 36	128.8587946	37.8369994	3	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	23	24	18	46	67	73	81	92	95	74	69	73	61	65	75	72
S100004002	유천초등학교	강원	강릉시	강원도 강릉시 선수촌로 100	128.8711169	37.7600476	0	0	0	0	0	0	0	0	0	0	0	0	27	33	39	43	0	0	0	0	0	0	0	0	0	0	0	0	643	727	876	930
S100000639	율곡초등학교	강원	강릉시	강원도 강릉시 원대로 129	128.8814004	37.7661727	45	43	43	44	44	43	41	39	39	42	42	45	40	40	41	40	1553	1505	1489	1477	1384	1275	1212	1117	1095	1105	1112	1162	1004	964	935	923
S100000640	임곡초등학교	강원	강릉시	강원도 강릉시 강동면 임곡로 890-14	128.9692072	37.6774212	3	3	3	3	5	6	6	6	6	6	6	6	6	6	6	6	15	19	19	16	23	29	28	29	60	65	67	65	60	64	60	65
S100000641	정동초등학교	강원	강릉시	강원도 강릉시 강동면 헌화로 1055	129.0334625	37.6876513	7	7	7	7	7	7	7	6	6	7	7	7	7	7	7	7	82	67	53	45	42	41	30	25	24	31	32	41	57	53	47	44
S100000644	주문진초등학교	강원	강릉시	강원도 강릉시 주문진읍 주문로 26	128.8265729	37.8871854	0	0	0	0	0	0	0	26	24	22	22	22	18	18	18	18	0	0	0	0	0	0	0	525	493	454	446	390	354	317	321	291
S100003354	주문진초등학교삼덕분교장	강원	강릉시	강원도 강릉시 주문진읍 신리천로 410-8	128.7885846	37.8787271	0	0	0	0	0	0	0	6	6	6	6	5	4	4	3	3	0	0	0	0	0	0	0	37	40	31	33	24	17	12	11	11
NONE	주문초등학교	강원	강릉시	강원도 강릉시 주문진읍 주문로 26	128.8265729	37.8871854	37	34	37	35	33	34	28	0	0	0	0	0	0	0	0	0	1129	1067	980	885	803	708	593	0	0	0	0	0	0	0	0	0
NONE	주문초등학교삼덕분교장	강원	강릉시	강원도 강릉시 주문진읍 신리천로 410-8	128.7885846	37.8787271	3	3	3	2	2	5	6	0	0	0	0	0	0	0	0	0	15	11	10	9	5	28	36	0	0	0	0	0	0	0	0	0
S100000646	주영초등학교	강원	강릉시	강원도 강릉시 주문진읍 약수동길 15-12	128.8267105	37.8983244	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	153	115	87	78	66	68	75	73	85	79	88	98	97	100	108	122
S100000647	중앙초등학교	강원	강릉시	강원도 강릉시 성덕포남로 18	128.92299	37.7580407	45	50	54	54	54	56	54	54	51	48	50	43	39	38	37	36	1666	1764	1802	1734	1710	1625	1589	1501	1374	1324	1258	1129	982	945	865	825
S100000648	초당초등학교	강원	강릉시	강원도 강릉시 연당길 35-11	128.9131402	37.781754	24	24	22	21	21	21	21	19	18	18	16	15	14	13	14	14	772	709	649	604	572	539	506	460	409	378	367	333	294	269	267	261
S100000650	포남초등학교	강원	강릉시	강원도 강릉시 가작로287번길 20	128.9057037	37.7729717	19	17	16	15	14	14	13	13	14	14	14	14	13	12	11	11	547	458	398	359	309	285	260	254	236	232	220	205	178	159	150	149
S100000651	한솔초등학교	강원	강릉시	강원도 강릉시 하평2길 45	128.9140403	37.774305	26	25	26	25	24	26	25	26	25	25	24	24	23	21	19	17	823	782	775	737	696	645	615	637	606	583	549	519	481	442	372	335
S100000718	간성초등학교	강원	고성군	강원도 고성군 간성읍 간성로 39	128.4706702	38.3789152	19	19	20	20	20	20	19	19	19	19	19	17	17	16	16	17	533	511	481	476	468	423	376	361	340	328	312	308	305	289	295	293
S100000720	거성초등학교	강원	고성군	강원도 고성군 거진읍 거성길 38	128.457928	38.4523339	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	108	106	91	87	77	65	57	59	53	49	54	49	50	43	41	27
S100000721	거진초등학교	강원	고성군	강원도 고성군 거진읍 자산길 19	128.4448302	38.438462	13	12	11	10	10	11	8	10	9	9	9	8	8	7	7	7	300	249	225	196	179	158	143	143	141	135	122	110	105	87	87	83
NONE	거진초등학교송정분교장	강원	고성군	강원도 고성군 거진읍 송용길 12	128.4228046	38.4424726	2	2	2	1	2	2	2	1	0	0	0	0	0	0	0	0	14	8	6	5	3	7	6	4	0	0	0	0	0	0	0	0
S100000726	공현진초등학교	강원	고성군	강원도 고성군 죽왕면 공현진한옥길 49	128.5073783	38.354009	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	50	44	46	36	31	48	44	38	41	42	42	38	39	48	52	54
S100000727	광산초등학교	강원	고성군	강원도 고성군 간성읍 진부령로 2427	128.4132181	38.3751184	7	7	7	6	6	6	6	6	7	7	7	7	7	7	7	7	61	54	51	51	44	36	31	33	35	35	41	41	40	49	55	62
S100000750	광산초등학교흘리분교장	강원	고성군	강원도 고성군 간성읍 흘리령길 3-15	128.3742003	38.2665263	3	3	3	3	2	2	2	2	2	2	2	3	3	3	2	1	10	9	8	7	6	4	5	5	3	4	6	9	9	8	4	2
S100000731	대진초등학교	강원	고성군	강원도 고성군 현내면 대진3길 15	128.4235352	38.4969745	7	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	88	99	90	79	64	57	53	40	37	35	30	33	31	40	44	42
S100000736	대진초등학교명파분교장	강원	고성군	강원도 고성군 현내면 금강산로 840	128.4014256	38.5417857	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	4	6	6	6	1
S100000733	도학초등학교	강원	고성군	강원도 고성군 토성면 무릉도원로 486	128.501538	38.272567	3	3	4	5	5	5	6	6	6	6	6	6	6	6	6	6	21	20	33	48	52	42	23	34	31	35	31	32	39	42	42	49
S100000734	동광초등학교	강원	고성군	강원도 고성군 토성면 교암1길 15	128.543975	38.288908	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	49	55	53	55	38	30	33	36	33	36	40	31	27	38	36	39
NONE	명파초등학교	강원	고성군	강원도 고성군 현내면 금강산로 840	128.4014256	38.5417857	3	3	3	3	3	3	3	4	3	4	3	0	0	0	0	0	29	19	17	13	12	9	9	12	11	12	7	0	0	0	0	0
S100000740	아야진초등학교	강원	고성군	강원도 고성군 토성면 아야진길 15	128.549287	38.273475	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	96	88	68	55	43	44	45	51	49	35	41	53	71	85	87	94
S100000742	오호초등학교	강원	고성군	강원도 고성군 죽왕면 황포길 28	128.53125	38.31345	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	66	54	50	41	42	41	43	48	41	49	40	36	38	36	42	42
S100000743	인흥초등학교	강원	고성군	강원도 고성군 토성면 인흥1길 26	128.5508835	38.236957	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	60	78	74	69	66	58	52	45	46	55	53	52	52	53	53	56
S100000745	죽왕초등학교	강원	고성군	강원도 고성군 죽왕면 송지호로 6	128.52295	38.330425	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	62	62	56	40	25	30	38	33	37	43	49	60	61	50	47	48
NONE	죽정초등학교	강원	고성군	강원 고성군 현내면 죽정리1리 372번지	128.4339894	38.4753162	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100000748	천진초등학교	강원	고성군	강원도 고성군 토성면 천진1길 14	128.557	38.257392	6	6	6	6	6	6	6	6	6	6	6	6	6	6	9	9	137	133	111	111	101	104	85	82	75	66	71	73	65	91	150	139
S100000777	남호초등학교	강원	동해시	강원도 동해시 평원로 120	129.1128914	37.5343094	14	14	13	15	17	19	22	26	29	34	34	35	35	35	36	33	379	357	312	433	429	472	573	676	747	830	872	914	878	852	823	745
S100000778	동해삼육초등학교	강원	동해시	강원도 동해시 동해대로 5367	129.1001041	37.521847	7	7	8	8	9	9	9	9	9	9	8	8	8	8	8	9	169	177	207	224	209	199	207	206	217	219	196	182	180	187	210	219
S100000779	동해중앙초등학교	강원	동해시	강원도 동해시 천곡로 35	129.1092543	37.5255474	30	28	27	28	26	29	30	30	30	31	31	31	32	33	31	32	1003	929	865	830	829	836	805	793	818	820	796	806	784	769	728	702
S100000780	동해초등학교	강원	동해시	강원도 동해시 봉오주택길 22	129.120425	37.51205	19	18	19	15	14	14	15	15	15	14	14	14	14	14	13	13	560	541	483	386	322	346	332	336	319	297	289	291	269	260	260	256
S100000781	동호초등학교	강원	동해시	강원도 동해시 발한로 123	129.1001796	37.5440364	23	21	19	18	16	17	16	14	13	13	13	13	15	16	15	15	657	586	546	483	418	378	337	297	273	253	263	305	315	303	292	265
S100000782	망상초등학교	강원	동해시	강원도 동해시 동해대로 6251	129.0897937	37.5907389	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	57	64	70	64	62	62	66	72	64	60	60	69	68	67	66	64
S100000783	묵호초등학교	강원	동해시	강원도 동해시 발한천길 30	129.1022154	37.5520973	13	11	10	10	9	9	9	9	8	9	8	7	7	7	7	7	322	269	237	212	200	179	166	153	144	143	132	107	94	85	82	90
S100000784	북삼초등학교	강원	동해시	강원도 동해시 지양길 77	129.1003936	37.4957346	13	14	12	12	12	13	13	14	15	15	17	18	18	19	20	20	397	362	316	282	258	262	308	319	337	336	370	380	388	369	398	385
S100000785	북평초등학교	강원	동해시	강원도 동해시 오일장1길 22	129.1240733	37.4822864	28	26	26	27	25	23	22	21	20	19	19	20	21	27	29	32	864	833	787	763	679	596	542	509	452	419	438	468	499	607	642	697
S100000787	삼화초등학교	강원	동해시	강원도 동해시 파수길 38	129.067572	37.4850021	12	12	10	10	10	9	8	7	6	6	6	6	6	6	6	6	262	254	233	204	189	163	151	140	119	119	111	97	84	75	60	61
S100000791	송정초등학교	강원	동해시	강원도 동해시 동해역길 25	129.1228039	37.4946019	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	138	114	120	103	104	105	99	96	92	98	90	81	81	82	74	70
S100000792	창호초등학교	강원	동해시	강원도 동해시 해맞이길 183	129.1077659	37.5586429	7	7	7	7	6	6	6	7	7	7	7	7	7	7	7	7	108	102	92	79	86	85	84	87	75	73	57	59	51	50	63	64
S100000794	천곡초등학교	강원	동해시	강원도 동해시 동굴로 33	129.1079797	37.5178318	25	25	23	22	20	20	19	19	17	16	15	14	13	14	13	13	824	778	679	591	553	528	475	427	392	371	326	300	285	281	268	252
S100003577	청운초등학교	강원	동해시	강원도 동해시 청운로 60	129.1041222	37.4855127	54	53	54	55	54	50	47	45	43	41	38	38	39	37	36	36	1886	1821	1778	1765	1625	1407	1303	1224	1135	1024	977	960	937	857	791	792
NONE	궁촌초등학교	강원	삼척시	강원도 삼척시 근덕면 궁촌리397 번지	129.2632185	37.3205288	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	25	18	12	0	0	0	0	0	0	0	0	0	0	0	0	0
S100000855	근덕초등학교	강원	삼척시	강원도 삼척시 근덕면 삼척로 3653	129.2245602	37.380701	7	7	7	7	7	7	7	7	7	7	8	8	8	8	7	7	118	109	111	104	92	82	90	76	66	65	94	114	119	118	109	118
S100000852	근덕초등학교궁촌분교장	강원	삼척시	강원도 삼척시 근덕면 궁촌길 66	129.263767	37.320266	0	0	0	2	2	2	2	3	3	3	3	3	3	3	2	0	0	0	0	10	6	3	3	5	6	7	7	7	8	8	4	0
NONE	근덕초등학교노곡분교장	강원	삼척시	강원도 삼척시 노곡면 노곡로 13-27	129.1637171	37.3475278	2	3	3	3	2	2	1	1	0	0	0	0	0	0	0	0	6	7	6	6	7	4	3	1	0	0	0	0	0	0	0	0
NONE	근덕초등학교동막분교장	강원	삼척시	강원도 삼척시 근덕면 방재로 16	129.2433972	37.3388635	3	3	3	2	3	3	2	1	1	1	0	0	0	0	0	0	9	6	8	5	9	7	3	2	2	2	0	0	0	0	0	0
NONE	근덕초등학교마읍분교장	강원	삼척시	강원도 삼척시 노곡면 문의재로 2522	129.1783431	37.2697548	2	2	2	3	3	3	2	1	0	0	0	0	0	0	0	0	3	4	8	6	5	7	3	2	0	0	0	0	0	0	0	0
S100000873	도계초등학교	강원	삼척시	강원도 삼척시 도계읍 도계로 265	129.0442873	37.2320851	14	15	17	16	15	15	14	13	13	13	12	12	12	11	9	8	404	388	366	332	314	292	261	266	260	232	212	195	179	149	134	109
S100000902	도계초등학교소달분교장	강원	삼척시	강원도 삼척시 도계읍 소달길 54-30	129.063681	37.275635	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0
S100000888	맹방초등학교	강원	삼척시	강원도 삼척시 근덕면 삼척로 3884-4	129.213562	37.398774	4	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	25	43	60	63	60	54	64	61	65	61	63	65	69	73	77	72
S100000891	미로초등학교	강원	삼척시	강원도 삼척시 미로면 미로강변로1길 10-11	129.1150391	37.4148936	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	83	76	68	58	56	60	59	53	56	55	56	57	52	51	42	44
S100000897	삼척남초등학교	강원	삼척시	강원도 삼척시 동해대로 3783-22	129.1877999	37.4237379	3	4	5	5	5	5	5	5	5	6	7	7	7	7	7	7	21	28	25	29	27	26	25	24	22	25	33	37	35	49	45	49
S100000898	삼척중앙초등학교	강원	삼척시	강원도 삼척시 새천년도로 630-121	129.1613511	37.4666731	6	5	4	5	4	5	5	5	6	6	5	5	4	4	6	6	44	32	30	22	18	21	29	30	29	29	31	27	17	18	85	93
S100000899	삼척초등학교	강원	삼척시	강원도 삼척시 교동로 43	129.1668511	37.4494173	33	32	31	29	28	26	27	27	27	29	29	32	35	36	36	35	1097	1047	961	858	780	697	701	679	664	697	750	816	836	845	832	792
S100000900	서부초등학교	강원	삼척시	강원도 삼척시 오십천로 279	129.149953	37.4397433	11	12	12	13	13	13	13	14	14	15	15	14	13	13	13	12	276	268	273	261	248	244	268	279	304	306	298	298	256	237	212	184
NONE	소달초등학교	강원	삼척시	강원도 삼척시 도계읍 소달길 54-30	129.0633289	37.2757684	7	6	6	5	3	2	3	3	3	3	3	3	3	0	0	0	48	43	34	26	14	7	8	8	11	11	12	10	8	0	0	0
S100000908	신동초등학교	강원	삼척시	강원도 삼척시 신기면 강원남부로 2997	129.0818375	37.3511654	3	3	3	3	4	4	4	4	4	4	3	3	3	3	3	2	17	16	19	19	14	20	19	15	12	10	11	10	12	12	11	8
S100000919	오저초등학교	강원	삼척시	강원도 삼척시 가곡면 가곡천로 1430	129.2066711	37.146646	3	3	2	3	4	4	4	2	3	3	4	4	4	4	4	3	16	12	8	9	16	12	10	9	10	11	16	11	11	13	11	10
NONE	오저초등학교풍곡분교장	강원	삼척시	강원도 삼척시 가곡면 청옥로4531	129.1569809	37.1267522	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	18	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0
S100000925	임원초등학교	강원	삼척시	강원도 삼척시 원덕읍 삼척로 1246	129.341813	37.236093	6	6	6	6	6	6	6	6	6	6	6	5	5	4	4	5	83	77	61	64	55	42	36	39	35	29	31	24	25	23	24	28
NONE	임원초등학교신남분교장	강원	삼척시	강원 삼척시 원덕읍 갈남리456-1	129.3237255	37.2658723	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100000928	장원초등학교	강원	삼척시	강원도 삼척시 도계읍 장원길 25	129.0554186	37.2279581	7	7	7	7	7	7	7	7	8	8	7	7	7	7	7	7	136	118	98	84	70	62	63	59	82	79	69	77	71	66	50	43
S100000930	장호초등학교	강원	삼척시	강원도 삼척시 근덕면 용화안길 24	129.3018213	37.2885477	4	3	4	6	6	6	6	5	5	5	5	5	4	4	4	4	31	29	32	35	31	27	23	22	21	19	13	21	15	15	13	9
S100000933	정라초등학교	강원	삼척시	강원도 삼척시 정상로3길 5	129.1762644	37.4457093	38	39	39	40	39	40	36	37	34	34	31	29	29	28	27	25	1260	1269	1257	1213	1164	1078	1024	959	898	840	759	709	678	630	567	512
S100000934	진주초등학교	강원	삼척시	강원도 삼척시 사직로1길 23	129.1645643	37.4338027	14	14	13	11	10	9	10	12	13	13	13	13	11	10	9	9	401	349	296	256	248	199	172	188	184	175	191	196	174	168	157	136
S100000944	하장초등학교	강원	삼척시	강원도 삼척시 하장면 하장길 84	128.944338	37.3483735	7	6	7	6	6	5	5	4	4	4	4	4	4	4	5	3	44	38	38	31	28	22	15	14	10	13	15	16	14	15	18	12
NONE	하장초등학교갈전분교장	강원	삼척시	강원도 삼척시 하장면 갈전리365	128.8941049	37.3829814	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0
NONE	하장초등학교역둔분교장	강원	삼척시	강원도 삼척시 하장면 오두재로 166	128.8812704	37.294276	3	3	3	3	3	3	3	2	2	0	0	0	0	0	0	0	14	11	8	8	10	10	11	7	4	0	0	0	0	0	0	0
S100000952	호산초등학교	강원	삼척시	강원도 삼척시 원덕읍 삼척로 462-12	129.3346101	37.178024	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	173	163	142	131	107	99	88	86	81	77	70	68	57	60	51	47
NONE	호산초등학교노실분교장	강원	삼척시	강원 삼척시 원덕읍 노곡리142-2	129.3416448	37.2021548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100000959	흥전초등학교	강원	삼척시	강원도 삼척시 도계읍 흥전안길 137	129.0433951	37.2144098	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	129	106	97	77	66	60	58	49	42	40	36	34	31	30	25	25
S100001007	교동초등학교	강원	속초시	강원도 속초시 만천1길 67	128.574609	38.2036153	47	49	47	45	43	44	42	43	37	38	38	36	35	35	35	35	1781	1680	1542	1407	1334	1208	1177	1095	1001	954	947	919	840	805	800	770
S100001010	대포초등학교	강원	속초시	강원도 속초시 동해대로 3797	128.6033942	38.1741671	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	98	88	64	63	60	65	81	80	80	76	53	46	59	64	61	63
S100001018	설악초등학교	강원	속초시	강원도 속초시 청봉로 51	128.5405505	38.1639522	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	70	60	53	44	37	35	31	37	40	53	54	56	56	61	66	59
S100003567	소야초등학교	강원	속초시	강원도 속초시 배움터길 42	128.5663157	38.1997074	26	25	23	22	22	20	20	19	19	19	19	18	18	17	18	15	834	787	691	611	578	509	471	437	403	399	393	374	360	346	345	317
S100001019	속초초등학교	강원	속초시	강원도 속초시 수복로 117	128.5814812	38.2025075	24	23	22	21	19	17	15	15	14	13	13	13	13	13	13	13	730	688	600	529	463	383	323	286	242	229	245	233	230	214	203	192
S100001024	영랑초등학교	강원	속초시	강원도 속초시 중앙로 331	128.5916439	38.2173678	18	16	15	15	14	15	14	13	12	12	12	11	12	11	10	9	527	445	366	309	277	242	231	217	214	198	201	188	168	158	160	141
S100001026	온정초등학교	강원	속초시	강원도 속초시 온천로 107	128.5545542	38.1903143	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	87	80	74	71	71	67	66	77	77	68	66	62	65	68	78	68
S100001037	조양초등학교	강원	속초시	강원도 속초시 동해대로 3965	128.5980875	38.1886179	20	19	19	19	18	19	17	18	16	14	15	16	17	17	18	20	627	565	575	565	501	496	433	403	356	337	326	363	368	347	382	382
S100001039	중앙초등학교	강원	속초시	강원도 속초시 번영로105번길 11	128.5849643	38.210446	18	18	18	17	15	15	14	14	13	13	13	13	13	14	13	15	501	469	449	404	362	329	304	280	240	223	259	286	268	261	254	278
S100001040	청대초등학교	강원	속초시	강원도 속초시 소평로 175	128.5769862	38.1914436	34	34	32	33	31	31	31	29	29	28	27	25	25	29	31	34	1128	1081	1017	957	902	843	799	743	710	658	634	612	621	701	723	746
S100003741	청봉초등학교	강원	속초시	강원도 속초시 조양로118번길 9	128.5870088	38.1883604	18	21	23	24	24	25	25	24	24	26	28	29	30	32	33	33	579	626	638	661	639	606	606	571	614	635	661	701	743	786	809	763
S100001041	청호초등학교	강원	속초시	강원도 속초시 청호로 60	128.5977987	38.1959913	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	143	115	106	92	68	60	49	49	46	40	53	61	54	71	92	96
S100001099	도촌초등학교	강원	양구군	강원도 양구군 국토정중앙면 정중앙로 259	128.021775	38.08075	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	77	69	56	59	58	57	52	43	40	30	40	38	43	50	61	74
